Spatial scale,Temporal regime,Data regime,Calibration methods,SA,Sampling,Metamodel
District,Static,Data-rich,Manual,No,No,No
District,Static,Data-scarce,Manual,No,No,Metamodel
District,Quasi-dynamic,Data-mixed,Bayesian,No,No,No
District,Static,Data-mixed,Manual,No,No,No
District,Static,Data-scarce,Bayesian,No,No,No
District,Static,Data-mixed,Bayesian,SA,Sampling,No
District,Static,Data-mixed,Manual,No,No,No
District,Static,Data-scarce,Bayesian,No,No,No
District,Static,Data-mixed,Optimization,SA,Sampling,Metamodel
District,Static,Data-scarce,Bayesian,No,No,No
District,Static,Data-mixed,Manual,No,No,No
District,Static,Data-scarce,Bayesian,SA,No,No
District,Static,Data-scarce,Manual,No,No,No
District,Static,Data-mixed,Manual,No,No,No
District,Static,Data-mixed,Manual,No,Sampling,No
District,Static,Data-scarce,Manual,No,No,No
District,Static,Data-mixed,Bayesian,No,No,No
District,Static,Data-mixed,Manual,No,No,No
District,Static,Data-mixed,Bayesian,No,Sampling,No
District,Static,Data-scarce,Manual,No,Sampling,No
District,Quasi-dynamic,Data-scarce,Bayesian,No,No,No
District,Quasi-dynamic,Data-scarce,Bayesian,No,No,No
District,Static,Data-mixed,Manual,No,No,No
District,Static,Data-rich,Optimization,No,No,No
District,Static,Data-mixed,Manual,No,No,No
City,Static,Data-rich,Optimization,SA,No,Metamodel
City,Quasi-dynamic,Data-scarce,Optimization,No,Sampling,Metamodel
City,Quasi-dynamic,Data-scarce,Optimization,No,Sampling,Metamodel
City,Dynamic,Data-scarce,Manual,SA,Sampling,Metamodel
City,Quasi-dynamic,Data-rich,Manual,SA,No,Metamodel
City,Dynamic,Data-rich,ML,No,Sampling,Metamodel
City,Quasi-dynamic,Data-scarce,Manual,SA,Sampling,No
City,Static,Data-scarce,Optimization,SA,No,No
City,Quasi-dynamic,Data-scarce,Manual,SA,Sampling,No
City,Quasi-dynamic,Data-rich,Optimization,SA,Sampling,Metamodel
Building,Quasi-dynamic,Data-rich,Optimization,No,Sampling,No
Building,Dynamic,Data-scarce,Bayesian,SA,Sampling,No
Building,Dynamic,Data-rich,Optimization,No,Sampling,No
Building,Static,Data-mixed,Bayesian,No,No,No
Building,Dynamic,Data-scarce,Optimization,No,No,No
